What count did Alexandre Dumas write about ?,travel
What is La Nina ?,science
What is Britain s possession on the Chinese mainland ?,"law, govt and politics"
What year did Jack Nicklaus join the Professional Golfers Association tour ?,sports
What is a leper ?,society
How many innings are there in a regulation softball game ?,sports
What is a wart ?,health and fitness
What is the name of the brilliant British economist behind its creation ?,science
Whose video is titled Shape Up with Arnold ?,health and fitness
Independent silversmith s account for what percentage of silver production ?,business and industrial
What is the difference between microprocessors & microcontrollers ?,technology and computing
Which team won the Super Bowl in 1968 ?,sports
What baseball team was routinely called  dem bums  by its frustrated fans ?,sports
How many Fig Newtons are there to the pound ?,food and drink
What function does a community s water tower serve ?,travel
When did the supercontinent Pangaea break up ?,society
What does ` PSI  stand for ?,"law, govt and politics"
Who is Desmond Tutu ?,travel
What is the population in India ?,science
How long does James Bond like his eggs boiled ?,food and drink
What is the difference between classical conditioning and operant conditioning ?,science
Who is the  Queen Mother  ?,society
How many colleges are in Wyoming ?,business and industrial
What s another name for aspartame ?,food and drink
What are some good medical sites for information ?,science
What does the name Calder mean ?,science
What s bottled in jeroboams ?,food and drink
What is the best selling computer model ever ?,technology and computing
How many hostages were killed in the Entebbe raid ?,travel
Why are there 12 people on a jury in criminal cases ?,"law, govt and politics"
What is a fear of food ?,health and fitness
What actor came to dinner in Guess Who s Coming to Dinner ?,food and drink
What country did the Nazis occupy for 1 ,society
What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 ,"law, govt and politics"
How can I look up someone s E-mail address on the Internet ?,technology and computing
What is the circumorbital hematoma ?,science
What species is a colt ?,science
What s a perfect score in a gymnastics exercise ?,health and fitness
What actor and World War II airman had a $5 ,society
What s a perfect score in a gymnastics exercise ?,health and fitness
What record company was formed by Herb Alpert and Jerry Moss ?,business and industrial
Why do they call a hamburger a hamburger when there is no ham ?,food and drink
In what ways did Ivan IV support Russian expansion ?,science
What is the C programming language ?,technology and computing
What is a  USB  port on a computer ?,technology and computing
What are all the rivers in Europe ?,travel
What occupation has the highest divorce rate ?,society
How do I find if my relatives were on the Trail of Tears ?,science
How do you handle a hungry man ?,food and drink
How do vending machines tell if your dollar is a 1 or a 5 ?,business and industrial
How many times can a nickel-cadmium rechargeable battery be recharged ?,technology and computing
What cooking oil has  corn goodness  ?,business and industrial
What s the world s longest suspension bridge ?,business and industrial
How many people in America snore ?,health and fitness
How much does it cost to have a tree planted by dialing ,business and industrial
How many degrees cooler is the inside of a cucumber than the air outside ?,business and industrial
What Indian tribe is F Troop perpetually doing battle with ?,"law, govt and politics"
What is  dew point  ?,science
What does a collier mine ?,business and industrial
What is white chocolate ?,food and drink
What are the different types of plastic ?,science
What Caribbean island is sometimes called Little England ?,travel
What actor first portrayed James Bond ?,art and entertainment
What is a fear of parasites ?,health and fitness
What are the Nordic nations ?,sports
What U.S. state ends with a G ?,"law, govt and politics"
What international amateur sports spectacle was first telecast in 1956 ?,sports
What s the green variety of beryl called ?,food and drink
Who s played the most games for the New York Yankees ?,sports
What does Salk vaccine prevent ?,health and fitness
Who did Richard Nixon tender his resignation to ?,"law, govt and politics"
Who was The Pride of the Yankees ?,sports
What Mexican leader was shot dead in 1923 ?,"law, govt and politics"
What should you do for an ankle sprain ?,health and fitness
What U.S. President showed a fondness for munching on bee pollen bars ?,food and drink
What country has the best defensive position in the board game Diplomacy ?,society
What father and son won the Medal of Honor ?,"law, govt and politics"
What is office automation ?,technology and computing
Why do rooftops give off steam after a big rainstorm ?,science
Who killed Lee Harvey Oswald ?,society
What feud ended with a marriage in Kentucky on March 21 ,society
What s the distinction of U.S. Supreme Court Justice Thurgood Marshall ?,"law, govt and politics"
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,art and entertainment
What s the meaning of the zoological term ruminant ?,business and industrial
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?,society
What state full of milk and honey was the destination in The Grapes of Wrath ?,food and drink
What new games are available for Nintendo 64 ?,technology and computing
What U.S. state s biggest lake is Lake Sam Rayburn ?,"law, govt and politics"
Where does the tennis star Stefan Edberg come from ?,sports
What was the price of Varian Associates  vacuum products division ?,science
What player squats an average of 3 times during a baseball doubleheader ?,sports
Where do you find the answers for all these questions ?,technology and computing
Name a female figure skater .,sports
Who died 1 feet from where John F. Kennedy did ?,"law, govt and politics"
Where can you find the Venus flytrap ?,science
Where did the name root beer come from ?,food and drink
Where can I find the names of all the 15 Pokemon ?,technology and computing
What are the seven seas ?,sports
What are the names of all the U.S. Navy aircraft carriers ?,"law, govt and politics"
In which year was New Zealand excluded from the ANZUS alliance ?,travel
When did the Berlin Wall go up ?,travel
Why are the U.S. presidential elections held in November ?,"law, govt and politics"
When were the Olympic Games in which Nadia Comaneci became popular played ?,sports
Where can I get piano music for the Jamiroquai song Everyday for the midi ?,technology and computing
What will a kid eat the middle of ,food and drink
What is the geographical center of the US including Alaska and Hawaii ?,travel
Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover ,travel
How many villi are found in the small intestine ?,health and fitness
How many Beatles  records went #1 ?,art and entertainment
What sea did the Romans call mare nostrum ?,travel
What is Columbia Tristar s phone number ?,technology and computing
What was the infamous pseudonym of Peter Sutcliffe ?,society
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,travel
What comedian has a legendary reputation for stealing jokes ?,art and entertainment
What country was A Terrible Beauty to Leon Uris ?,society
What was the average life expectancy during the Stone Age ?,science
What is the brand name of the chemical daminozide ?,business and industrial
What city or state do the most gay men live in ?,society
What causes tuberculosis ?,health and fitness
What is a fear of insanity ?,health and fitness
When was Ozzy Osbourne born ?,art and entertainment
Which two states enclose Chesapeake Bay ?,sports
What is hydrogen ?,business and industrial
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,art and entertainment
What South American city features the exclusive Copacabana Beach and Ipanema ?,travel
What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?,society
Where can I find a website that gives comparisons of good prices ?,business and industrial
Who wrote The Red Badge of Courage ?,society
What happens when lightning strikes a body of water ?,business and industrial
What is  the computer for the rest of us  ?,technology and computing
What sport is played on the largest field ?,sports
What country s royal house is Bourbon-Parma ?,society
Name the blind sculptress in love with the Fantastic Four s Thing .,art and entertainment
What is the name of the tallest mountain in the world ?,sports
What French designer declared :  The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped !  ?,"law, govt and politics"
In what year did the Bounty mutiny happen ?,"law, govt and politics"
What infectious disease is the world s deadliest ?,health and fitness
Who was the first woman to fly solo across the Atlantic ?,travel
What is software piracy ?,society
What chapter of the Bible has the most verses ?,business and industrial
What continent s name appears on the upper left corner of a Budweiser label ?,food and drink
Who portrayed portly criminologist Carl Hyatt on Checkmate ?,travel
What did John F. Kennedy consider his greatest blunder in office ?,"law, govt and politics"
What was paper made of in the late 16th century ?,business and industrial
When did Iraqi troops invade Kuwait ?,"law, govt and politics"
Name a golf course in Myrtle Beach .,sports
What is the last name of Lucy and Linus from the Peanut s comic strip ?,technology and computing
When was Queen Victoria born ?,travel
What do Caroll Baker ,food and drink
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?,travel
What war was fought by the Spanish as far as the Philippines ?,society
How many pounds are there in a stone ?,health and fitness
How many letters appear with the numbers 2 to 9 on a telephone dial ?,technology and computing
What is the origin of the word Marijuana ?,health and fitness
How many people die from snakebite poisoning in the U.S. per year ?,health and fitness
How many small businesses are there in the U.S .,business and industrial
Why is the moon different sizes and colors ?,business and industrial
What is leukemia ?,health and fitness
What Chilean president was killed in a 1973 coup d etat ?,society
Which mayonnaise refers to itself as  real  mayonnaise ?,food and drink
Which infectious disease is the world s deadliest ?,health and fitness
What is worth seeing in Reims ?,travel
How can anyone tell if a female had sexual intercourse ?,society
Where was Christopher Columbus born ?,travel
How many people live in the Falklands ?,society
What was Al Capone s nickname ?,society
Which NBA players had jersey number 0 ?,sports
What is Eagle s syndrome styloid process ?,health and fitness
How many revolutions does a standard LP make in three minutes ?,business and industrial
What canal does the Thatcher Ferry Bridge span ?,"law, govt and politics"
How many points is a disk in the center hole worth in Crokinole ?,technology and computing
How many horses died during the civil war ?,society
What is the main ingredient of yogurt ?,food and drink
What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,"law, govt and politics"
What was the rallying cry of the early American revolutionaries ?,society
How much money did the Marcos steal from their country ?,technology and computing
Who has the only speaking role in  Silent Movie  ?,art and entertainment
What William Styron book is about a black preacher who leads a slave revolt ?,society
Who is the superstar in rent-a-cars ?,art and entertainment
What was the Great Britain population from 1699-172 ?,science
What non-alcoholic syrup is made from pomegranate juice ?,food and drink
What is a fear of women ?,health and fitness
What city boasts Penn s Landing ,travel
What does S.O.S. stand for ?,"law, govt and politics"
How is digital audio used ?,technology and computing
What television network flogged its sports programming on Inga Nielsen s body in 197 ?,sports
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?,"law, govt and politics"
What s a  Drinker respirator  better known as ?,food and drink
What does Aaron mean ?,science
What are the names of the tourist attractions in Reims ?,travel
How can I find out which cities have cable-modem access ?,technology and computing
Why should cigarette smoking be banned ?,health and fitness
In what sport are these following numbers relevant : 118 ,sports
What was the date of Iraq s invasion of Kuwait ?,society
What is a virtual IP address ?,business and industrial
What plant has the largest seed ?,business and industrial
Who established a Viking colony in Greenland about 985 ?,sports
What percent liked Thatcher after she had been in power for a decade ?,art and entertainment
What kind of people took part in Shays  Rebellion in Massachusetts in 1787 ?,society
On which Hawaiian island is Pearl Harbor ?,travel
What soft drink first appeared in the Old Corner Drug Store in Waco ,health and fitness
What is the largest city on the Great Lakes ?,science
Who said :  What contemptible scoundrel stole the cork from my lunch ? ,food and drink
What is a person called that likes fire ?,"law, govt and politics"
How did Lee Harvey Oswald purchase his rifle ?,society
Who founded the modern theory of probability ?,science
Who was Jane Goodall ?,travel
Where did the Wright brothers make their first flight ?,travel
When was London s Docklands Light Railway constructed ?,travel
What was the role of the Medieval Guild ?,science
How is energy created ?,business and industrial
What does saliva consist of ?,health and fitness
What international sport was originally called hurley ?,business and industrial
Who served as inspiration for the schoolteacher portrayed by Robin Williams in  Dead Poets Society  ?,society
How long does it take for your blood to make one complete trip through the body ?,health and fitness
What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,travel
What do chefs call The Master Spice ?,food and drink
What drink is formed of tequila ,food and drink
How many people did Randy Craft kill ?,art and entertainment
What is the most popular sports car color ?,technology and computing
What is the most heavily caffeinated soft drink ?,food and drink
What is a fear of ruin ?,health and fitness
How many Canadians emmigrate each year ?,travel
Ray Charles plays which instrument ?,art and entertainment
What common livestock have the greatest variety of breeds ?,business and industrial
What is the temperature for baking Peachy Oat Muffins ?,food and drink
What does the theory of quantum leaps mean in simpler terms ?,technology and computing
What Irwin Allen bomb has Richard Widmark saying he ll be  the first officer in history to get his butt kicked by a mess of bugs !  ?,science
What is a fear of sinning ?,health and fitness
How many years did Sleeping Beauty sleep ?,health and fitness
Who was the first man to return to space ?,business and industrial
What is the Home Rule Act ?,"law, govt and politics"
What college football team did Knute Rockne build into a power ?,sports
In what year did they build the Berlin Wall ?,travel
What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?,"law, govt and politics"
What are the developmental stages of a swimmer ?,sports
What is the  Global Economy  ?,society
What President hit the jogging paths to enhance his athletic image and ,sports
What was unusual about Alexandra s appearance in Josie and the Pussycats ?,art and entertainment
When did the American Civil War end ?,society
What U.S. state is Dixville Notch in ?,"law, govt and politics"
Which two products use a tiger as their symbol ?,technology and computing
What computer operating system is on the most computers ?,technology and computing
What is a synonym for aspartame ?,food and drink
What is the oldest ethnological museum in the world ?,science
What is the full name of the PLO ?,"law, govt and politics"
What are the top ten all-time money making NFL teams ?,sports
What is a fear of motion ?,health and fitness
How long was the longest hiccup attack ?,sports
What celestial body has a diameter of 864 ,technology and computing
Where is the Bulls basketball team based ?,sports
What do the Japanese call Japan ?,travel
What date did man first land on the moon ?,science
How do I check if my modem is v.9 compatible ?,technology and computing
What is the weight of a teaspoon of matter in a black hole ?,food and drink
What province is Edmonton located in ?,business and industrial
What baseball team became the Minnesota Twins ?,sports
What was the only country you were allowed to drive into Israel from in 1979 ?,technology and computing
What is the fastest computer ?,technology and computing
How much does a new railroad coal car cost ?,business and industrial
What is the difference between the anus and the rectum ?,society
Name four famous cartoon cats .,art and entertainment
What is the Homelite Inc. home page ?,business and industrial
What was Einstein s IQ ?,science
What is the name of the police officer who tried to keep order in Top Cat s neighborhood ?,"law, govt and politics"
Aspartame is also known as what ?,food and drink
What are the languages spoken by the natives in Afghanistan ?,technology and computing
Why are organ transplants more successful today ?,science
How big is a normal size penis for a 15-year-old ?,health and fitness
What is an example of a natural acid-base indicator ?,science
What s men s par on a 455-yard golf hole ?,sports
What does the number 33 on the Rolling Rock beer bottle mean ?,food and drink
How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?,sports
What president s ghost is said to haunt the White House ?,"law, govt and politics"
What year was the NAACP founded ?,"law, govt and politics"
How many sonnets did Shakespeare write ?,art and entertainment
What is the salary of a U.S. Representative ?,business and industrial
What Leon Uris novel dealt with the Russian capture of Berlin ?,technology and computing
In what high-risk business venture did Jimmy the Greek bet and lose ?,business and industrial
Who painted the Sistine Chapel ?,art and entertainment
What was the monster in Spielberg s film  Jaws  ?,art and entertainment
What city in Florida is Sea World in ?,travel
When is the Tulip Festival in Michigan ?,art and entertainment
What were the causes of the Civil War ?,society
What is object-oriented design ?,technology and computing
What was Einstein s IQ ?,science
What is the origin of the expression  tout de suite  ?,art and entertainment
What is the US Federal Government website for Standard Industrial Classification codes ,"law, govt and politics"
What day of the week sees the most fatal car accidents ?,travel
What effect does a prism have on light ?,technology and computing
What country boasts the southernmost point in continental Europe ?,travel
Who played for the Chicago Bears ,sports
How do I write to my Congressman ?,"law, govt and politics"
When did the Bounty mutiny take place ?,"law, govt and politics"
Aspartame is known by what other name ?,food and drink
How can I trace my family roots ?,science
What kind of poisoning is known as plumbism ?,food and drink
How do you tell your parents you are dating an older man ?,society
What is the latitude and longitude of El Paso ,technology and computing
What s the northernmost U.S. state apart from Alaska ?,travel
What diminutive American female gymnast stole the show at the 1984 Olympics ?,sports
What s the most common non-contagious disease in the world ?,health and fitness
Who does data collection in tourism ?,technology and computing
What Nobel laureate was expelled from the Philippines before the conference on East Timor ?,"law, govt and politics"
In which state are the Mark Twain National Forests ?,business and industrial
What is the abbreviation of the National Bureau of Investigation ?,science
What is the term for a group of geese ?,travel
Who were the four famous founders of United Artists ?,art and entertainment
Where is the largest dam in the world ?,business and industrial
What film or films has Jude Law appeared in ?,art and entertainment
What is  Nine Inch Nails  ?,art and entertainment
How many people have died of tuberculosis ?,health and fitness
How would someone go about becoming an organ donor ?,science
How do you address a Chinese person ?,food and drink
What causes asthma ?,health and fitness
What lawyer won the largest divorce settlement ,society
Who declared :  I am down on whores and I shan t stop ripping them  ?,society
What tennis term is said to come from the French word for egg ?,sports
How many Israeli athletes were killed at the Munich Olympics ?,sports
How many tenths of the Earth s surface lie under water ?,science
How much of the earth s surface is permanently frozen ?,food and drink
What s an infant seal called ?,"law, govt and politics"
Who directed  Jaws  ?,art and entertainment
How many people did Randy Craft murder ?,society
Who created the character of Scrooge ?,art and entertainment
What does palindromic mean ?,science
What s the world s largest cathedral ?,travel
Who is the leading competitor of Trans Union Company ?,business and industrial
What does caliente translate to in English ?,science
What Russian composer s Prelude in C Sharp Minor brought him fame and fortune ?,art and entertainment
What is the difference between New York-style and Chicago-style pizza ?,food and drink
Which infectious disease kills the most people worldwide ?,health and fitness
What did nt Rocky Marciano do in his pro boxing career ?,sports
What is Bill Gates of Microsoft E-mail address ?,business and industrial
How many years did Shea & Gould practice law in Los Angeles ?,business and industrial
Who was Lacan ?,science
What state s home to the Buffalo Bill Historical Center ?,sports
What is object-oriented design ?,technology and computing
When was the internal combustion engine developed ?,business and industrial
How many four star generals were there and who are they ?,"law, govt and politics"
What phone number can I call to have a tree planted ?,technology and computing
What novel inspired the movie BladeRunner ?,art and entertainment
What rum is so  mixable  it is a one-brand bar ?,food and drink
What army was founded by William Booth and his wife Catherine ?,"law, govt and politics"
Name the fast food chain with the golden arches .,food and drink
What country was Mikhail Gorbachev the leader of ?,society
What does the name  Sheri  mean ?,science
What is the protagonist s name in Dostoevski s  The Idiot  ?,society
What is the acreage of the Chappellet vineyard ?,business and industrial
What disease is transmitted by the Anopheles mosquito ?,health and fitness
What is the quantity of American soldiers still unaccounted for from the Vietnam war ?,society
On what day were John F and Jackie Kennedy married ?,society
Where can I get information about cystic fibrosis ?,health and fitness
What constellation represents a hunter with club and shield ?,sports
What s the Red Planet ?,science
What was the name of the first Russian astronaut to do a spacewalk ?,business and industrial
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,"law, govt and politics"
What U.S. city is The Queen of the Pacific ?,"law, govt and politics"
What is the name of the vaccine for chicken pox ?,health and fitness
What country imposed the Berlin Blockade in 1948 ?,society
Who plays shortstop for Charlie Brown s baseball team ?,sports
Who is currently the most popular singer in the world ?,technology and computing
What are the four most widely-used languages in North America ?,technology and computing
The second most popular sport worldwide is what ?,technology and computing
What soft drink not only has its own video game ,food and drink
What is a fear of being dirty ?,health and fitness
Which country did Hitler rule ?,"law, govt and politics"
What National League baseball team employed 72 third baseemen in its first 2 seasons ?,sports
What U.S. state records the least rainfall ?,"law, govt and politics"
How many lakes are there on the Earth ?,science
What river runs through Liverpool ?,sports
